Lon,Lat,Clave,Edo,Est,Tmax
-104.65,24.23,PAGDR,DGO,PRESA PE¤A DEL AGUILA,22.1
-109.63,28.98,PECSO,SON,PRESA PLUTARCO ELIAS CALLES,30.2
-99.3,19.96,PRQHD,HGO,PRESA REQUENA,22.8
-98.86,22.78,SDATP,TAMPS,PRESA SACA DE AGUA,23.1
-98.8,22.94,SLZTP,TAMPS,PRESA SAN LORENZO,22.4
-100.95,29.03,SMGCL,COAH,PRESA SAN MIGUEL,18.9
-103.5,22.33,STEZC,ZAC,PRESA SANTA TERESA,22.7
-100.73,27.5,VCRCL,COAH,PRESA VENUSTIANO CARRANZA,17.7
-99.37,20.43,PVAHD,HGO,PRESA VICENTE AGUIRRE,23.3
-98.55,23.96,VGRTP,TAMPS,PRESA VICENTE GUERRERO,22.2
-89.65,21.28,76593,YUC,PROGRESO,27.0
-99.15,18.77,PROMR,MOR,PROGRESO,25.0
-89.6,21.3,PROYC,YUC,PROGRESO,27.0
-100.59,25.46,PRSCL,COAH,PROGRESO,16.7
-98.17,19.05,76685,PUE,PUEBLA,22.3
-98.16,19.05,PUOPB,PUE,PUEBLA OBSERVATORIO,22.4
-97.8,25.8,PANTP,TAMPS,PUEBLO ANAHUAC,20.9
-92.87,17.85,PNVTB,TAB,PUEBLO NUEVO,26.4
-92.86,17.86,PUEBLONUEVO,TAB,PUEBLO NUEVO,26.1
-91.96,15.84,PCOCP,CHIS,PUENTE CONCORDIA,27.6
-96.48,15.65,76855,OAX,PUERTO ANGEL,32.4
-96.5,15.7,PTAOX,OAX,PUERTO ANGEL,32.5
-102.13,22.2,PTOAG,AGS,PUERTO LA CONCEPCION,19.8
-110.31,28.47,PTASO,SON,PUNTA DE AGUA II,29.7
-92.93,17.56,PUYTB,TAB,PUYACATENGO,26.8
-106.47,23.56,QLTSI,SIN,QUELITE,30.7
-100.4,20.58,76625,QRO,QUERETARO,22.0
-97.61,19.25,QUIPB,PUE,QUIMIXTLAN,16.7
-103.72,19.22,RDRCM,COL,RADAR,32.4
-95.62,18.71,RALVC,VER,RADAR ALVARADO,24.9
-92.66,15.91,REFCP,CHIS,REFORMA,28.7
-97.99,23.25,RSPTP,TAMPS,REPUBLICA ESPA¤OLA,21.8
